"No.","Time","Source","Destination","Protocol","Length","Info"
"34304","15117.148761","192.168.0.250","205.251.133.247","HTTP","425","GET /fancybox/fancy_shadow_w.png HTTP/1.1 "
"34333","15117.541108","192.168.0.250","205.251.133.247","HTTP","426","GET /fancybox/fancy_shadow_nw.png HTTP/1.1 "
"34385","15184.464013","192.168.0.251","190.210.100.78","HTTP","331","GET / HTTP/1.1 "
"34401","15184.741980","192.168.0.250","190.210.100.78","HTTP","331","GET / HTTP/1.1 "
"34449","15186.103964","192.168.0.251","205.251.133.247","HTTP","438","GET /ref.php?id=60934 HTTP/1.1 "
"34465","15186.557437","192.168.0.251","205.251.133.247","HTTP","431","GET /index.php HTTP/1.1 "
"34613","15186.981640","192.168.0.251","205.251.133.247","HTTP","551","GET /js/uniform/css/uniform.default.css HTTP/1.1 "
"34743","15187.229860","192.168.0.251","205.251.133.247","HTTP","547","GET /js/visualize/css/visualize.css HTTP/1.1 "
"34748","15187.230332","192.168.0.251","205.251.133.247","HTTP","541","GET /js/jdpicker/jdpicker.css HTTP/1.1 "
"34763","15187.233254","192.168.0.251","205.251.133.247","HTTP","554","GET /js/fancybox/jquery.fancybox-1.3.4.css HTTP/1.1 "
"34769","15187.234757","192.168.0.251","205.251.133.247","HTTP","547","GET /js/jwysiwyg/jquery.wysiwyg.css HTTP/1.1 "
"34775","15187.235519","192.168.0.251","205.251.133.247","HTTP","530","GET /css/style.css HTTP/1.1 "
"34780","15187.236105","192.168.0.251","205.251.133.247","HTTP","536","GET /css/themes/blue.css HTTP/1.1 "
"34831","15187.577246","192.168.0.251","205.251.133.247","HTTP","530","GET /css/ltie8.css HTTP/1.1 "
"34833","15187.577785","192.168.0.251","205.251.133.247","HTTP","527","GET /css/ie.css HTTP/1.1 "
"34838","15187.580963","192.168.0.251","205.251.133.247","HTTP","539","GET /js/jquery-1.6.2.min.js HTTP/1.1 "
"34874","15187.936832","192.168.0.251","205.251.133.247","HTTP","550","GET /js/jquery-ui-1.8.14.custom.min.js HTTP/1.1 "
"34888","15188.273108","192.168.0.251","205.251.133.247","HTTP","547","GET /js/jdpicker/jquery.jdpicker.js HTTP/1.1 "
"34902","15188.613710","192.168.0.251","205.251.133.247","HTTP","549","GET /js/uniform/jquery.uniform.min.js HTTP/1.1 "
"34916","15188.941349","192.168.0.251","205.251.133.247","HTTP","537","GET /js/jquery.hotkeys.js HTTP/1.1 "
"34933","15189.266978","192.168.0.251","205.251.133.247","HTTP","549","GET /js/visualize/visualize.jQuery.js HTTP/1.1 "
"34947","15189.598738","192.168.0.251","205.251.133.247","HTTP","536","GET /js/jquery.cookie.js HTTP/1.1 "
"34961","15189.922811","192.168.0.251","205.251.133.247","HTTP","558","GET /js/fancybox/jquery.fancybox-1.3.4.pack.js HTTP/1.1 "
"34983","15190.250867","192.168.0.251","205.251.133.247","HTTP","546","GET /js/jwysiwyg/jquery.wysiwyg.js HTTP/1.1 "
"35009","15190.582763","192.168.0.251","205.251.133.247","HTTP","536","GET /js/jquery.tables.js HTTP/1.1 "
"35047","15190.911201","192.168.0.251","205.251.133.247","HTTP","527","GET /js/main.js HTTP/1.1 "
"35113","15191.143179","192.168.0.251","72.246.216.25","HTTP","425","GET /button/checkOAuth.esi HTTP/1.1 "
"35118","15191.170768","192.168.0.251","205.251.223.121","HTTP","499","GET /site_stats/js/s/a?url=www.claimfans.com HTTP/1.1 "
"35143","15191.263092","192.168.0.251","205.251.133.247","HTTP","535","GET /img/logo_black.png HTTP/1.1 "
"35150","15191.263784","192.168.0.251","205.251.133.247","HTTP","535","GET /images/recover.png HTTP/1.1 "
"35152","15191.264073","192.168.0.251","205.251.133.247","HTTP","536","GET /images/facebook.png HTTP/1.1 "
"35154","15191.264365","192.168.0.251","205.251.133.247","HTTP","535","GET /images/twitter.png HTTP/1.1 "
"35156","15191.264728","192.168.0.251","205.251.133.247","HTTP","535","GET /images/youtube.png HTTP/1.1 "
"35165","15191.266978","192.168.0.251","205.251.133.247","HTTP","534","GET /images/google.png HTTP/1.1 "
"35170","15191.267529","192.168.0.251","205.251.133.247","HTTP","535","GET /images/website.png HTTP/1.1 "
"35175","15191.268016","192.168.0.251","205.251.133.247","HTTP","539","GET /images/stumbleupon.png HTTP/1.1 "
"35180","15191.268482","192.168.0.251","205.251.133.247","HTTP","535","GET /images/retweet.png HTTP/1.1 "
"35186","15191.269051","192.168.0.251","205.251.133.247","HTTP","532","GET /images/digg.png HTTP/1.1 "
"35192","15191.269629","192.168.0.251","205.251.133.247","HTTP","536","GET /images/linkedin.png HTTP/1.1 "
"35194","15191.269973","192.168.0.251","205.251.133.247","HTTP","532","GET /images/subs.png HTTP/1.1 "
"35196","15191.270351","192.168.0.251","205.251.133.247","HTTP","532","GET /images/pins.png HTTP/1.1 "
"35208","15191.271675","192.168.0.251","205.251.133.247","HTTP","535","GET /images/myspace.png HTTP/1.1 "
"35218","15191.272541","192.168.0.251","205.251.133.247","HTTP","538","GET /images/soundcloud.png HTTP/1.1 "
"35223","15191.273095","192.168.0.251","205.251.133.247","HTTP","533","GET /img/block_bg.jpg HTTP/1.1 "
"35225","15191.273403","192.168.0.251","205.251.133.247","HTTP","482","GET /usersonline.php HTTP/1.1 "
"35227","15191.273659","192.168.0.251","205.251.133.247","HTTP","527","GET /img/bg.jpg HTTP/1.1 "
"35229","15191.273915","192.168.0.251","205.251.133.247","HTTP","537","GET /img/menu_bg_blue.jpg HTTP/1.1 "
"35234","15191.275840","192.168.0.251","205.251.133.247","HTTP","535","GET /img/gray_small.png HTTP/1.1 "
"35414","15191.978378","192.168.0.251","205.251.133.247","HTTP","532","GET /img/logo_bg.png HTTP/1.1 "
"35416","15191.978900","192.168.0.251","205.251.133.247","HTTP","537","GET /img/block_top_bg.jpg HTTP/1.1 "
"35418","15191.979447","192.168.0.251","205.251.133.247","HTTP","536","GET /img/black_arrow.png HTTP/1.1 "
"35420","15191.979988","192.168.0.251","205.251.133.247","HTTP","532","GET /img/pass_bg.png HTTP/1.1 "
"35422","15191.980505","192.168.0.251","205.251.133.247","HTTP","534","GET /img/footer_bg.png HTTP/1.1 "
"35459","15192.855202","192.168.0.251","205.251.133.247","HTTP","541","GET /js/fancybox/fancybox.png HTTP/1.1 "
"35461","15192.855759","192.168.0.251","205.251.133.247","HTTP","538","GET /js/fancybox/blank.gif HTTP/1.1 "
"35514","15195.724692","192.168.0.251","205.251.133.247","HTTP","409","GET /favicon.ico HTTP/1.1 "
"35519","15195.729162","192.168.0.251","72.246.216.25","HTTP","425","GET /button/checkOAuth.esi HTTP/1.1 "
"35535","15195.783528","192.168.0.251","72.21.195.1","HTTP","410","GET /tt-btn1.png HTTP/1.1 "
"35540","15195.845876","192.168.0.251","50.16.238.194","HTTP","879","GET /pview?event=pview&fpc=7281473-13797b9d561-779257f4-1&sessionID=1338280367457.31898&sourceURL=http%3A%2F%2Fwww.claimfans.com%2Findex.php&hostname=www.claimfans.com&location=%2Findex.php&publisher=831b48ad-05cd-416f-b05b-dd2865a6a65c&shareHash=sthash.WsYEG8hT&incomingHash=&refDomain=&refQuery=&url=http%3A%2F%2Fwww.claimfans.com%2Findex.php&sharURL=&source=share4x&title=Free%20Facebook%20Fans%20and%20Free%20Twitter%20Followers%20and%20Pinterest%20Pin%20Exchange&ts1338280367457.0= HTTP/1.1 "
"35549","15195.930549","192.168.0.251","184.73.185.69","HTTP","629","GET /getSegment.php?purl=http%3A%2F%2Fwww.claimfans.com%2Findex.php&jsref=&rnd=1338280367457 HTTP/1.1 "
"35573","15196.140373","192.168.0.251","205.251.133.247","HTTP","464","GET /fancybox/fancy_shadow_n.png HTTP/1.1 "
"35620","15196.604561","192.168.0.251","205.251.133.247","HTTP","465","GET /fancybox/fancy_shadow_ne.png HTTP/1.1 "
"35669","15196.984953","192.168.0.251","205.251.133.247","HTTP","464","GET /fancybox/fancy_shadow_e.png HTTP/1.1 "
"35713","15197.352489","192.168.0.251","205.251.133.247","HTTP","465","GET /fancybox/fancy_shadow_se.png HTTP/1.1 "
"35745","15197.724320","192.168.0.251","205.251.133.247","HTTP","464","GET /fancybox/fancy_shadow_s.png HTTP/1.1 "
"35777","15198.805799","192.168.0.251","205.251.133.247","HTTP","465","GET /fancybox/fancy_shadow_sw.png HTTP/1.1 "
"35806","15199.172848","192.168.0.251","205.251.133.247","HTTP","464","GET /fancybox/fancy_shadow_w.png HTTP/1.1 "
"35835","15199.548368","192.168.0.251","205.251.133.247","HTTP","465","GET /fancybox/fancy_shadow_nw.png HTTP/1.1 "
"35872","15200.220548","192.168.0.251","72.246.216.34","HTTP","635","GET /share4x/index.46f5bc5fc0e85c1367fbe18fbd1b1792.html HTTP/1.1 "
"35881","15200.295462","192.168.0.251","72.246.216.34","HTTP","503","GET /images/spinner.gif HTTP/1.1 "
"35892","15200.342493","192.168.0.251","72.246.216.42","HTTP","531","GET /share4x/js/st.35d4aacd4fd3d345f119a441cbb45043.js HTTP/1.1 "
"35912","15200.445072","192.168.0.251","200.182.35.162","HTTP","753","GET /b?c1=7&c2=8097938&rn=983019913&c7=http%3A%2F%2Fseg.sharethis.com%2FgetSegment.php%3Fpurl%3Dhttp%253A%252F%252Fwww.claimfans.com%252Findex.php%26jsref%3D%26rnd%3D1338280367457&c3=8097938&c8=ShareThis%20Segmenter&c9=http%3A%2F%2Fwww.claimfans.com%2Findex.php&cv=2.2&cs=js HTTP/1.1 "
"35928","15200.552018","192.168.0.251","72.246.216.42","HTTP","536","GET /share4x/css/share.3343cba76810cce7b90dcaf8d6bc2e32.css HTTP/1.1 "
"35946","15200.712808","192.168.0.251","200.182.35.162","HTTP","819","GET /b2?c1=7&c2=8097938&rn=983019913&c7=http%3A%2F%2Fseg.sharethis.com%2FgetSegment.php%3Fpurl%3Dhttp%253A%252F%252Fwww.claimfans.com%252Findex.php%26jsref%3D%26rnd%3D1338280367457&c3=8097938&c8=ShareThis%20Segmenter&c9=http%3A%2F%2Fwww.claimfans.com%2Findex.php&cv=2.2&cs=js HTTP/1.1 "
"40711","17021.842405","192.168.0.251","85.233.160.70","HTTP","364","GET /html/admin/LDLR43f34t345g45g.exe HTTP/1.1 "
"40747","17023.417936","192.168.0.251","85.233.160.70","HTTP","358","GET /html/admin/Ldgsherfwrg.exe HTTP/1.1 "
"43307","17029.929216","192.168.0.251","208.85.150.249","HTTP","417","GET /installer.gif?action=started&browser=ie8&ver=1_18_149_149&bic=5711114C88F4452CAB319AE07E7C0D99IE&app=4995&appver=0&verifier=e070de45f051af0a83fec8697c4ce3b7&srcid=0&subid=0&zdata=0&ff=0_81&ch=1_17_45&default=X&os=V7&admin=1&type=12289 HTTP/1.1 "
"43365","17038.396263","192.168.0.251","206.41.8.190","HTTP","396","GET /plugin/apps/4995/manifest/1_18_149_149/ie8/manifest.xml?ver=0 HTTP/1.1 "
"43403","17039.777487","192.168.0.251","178.255.83.2","HTTP","197","GET /AddTrustExternalCARoot.p7c HTTP/1.1 "
"43429","17040.756307","192.168.0.251","206.41.8.170","HTTP","399","GET /plugin/apps/4995/plugins/1_18_149_149/ie8/plugins.json?ver=1 HTTP/1.1 "
"43497","17041.891227","192.168.0.251","206.41.8.170","HTTP","368","GET /plugin/opensearch/ie/4995.xml HTTP/1.1 "
"43509","17042.074977","192.168.0.251","208.85.150.249","HTTP","419","GET /installer.gif?action=finished&browser=ie8&ver=1_18_149_149&bic=5711114C88F4452CAB319AE07E7C0D99IE&app=4995&appver=50&verifier=e070de45f051af0a83fec8697c4ce3b7&srcid=0&subid=0&zdata=0&ff=0_81&ch=1_17_45&default=X&os=V7&admin=1&type=12289 HTTP/1.1 "
"43512","17042.295069","192.168.0.251","208.85.150.249","HTTP","388","GET /apps.gif?action=install&browser=ie8&ver=1_18_149_149&bic=5711114C88F4452CAB319AE07E7C0D99IE&app=4995&appver=50&verifier=e070de45f051af0a83fec8697c4ce3b7&installtime=1338282201&curtime=1338282201&lifetime=0 HTTP/1.1 "
"43608","17071.149210","192.168.0.251","85.233.160.70","HTTP","421","GET /html/admin/A243t324f234f.exe HTTP/1.1 "
"43824","17103.256347","192.168.0.251","85.233.160.70","HTTP","412","GET /html/admin/file.exe HTTP/1.1 "
"46552","17869.993251","192.168.0.251","85.233.160.70","HTTP","358","GET /html/admin/SX433g45r4f.exe HTTP/1.1 "
"91857","32280.899794","192.168.0.250","205.251.133.247","HTTP","470","GET /img/ie_menu_bg.png HTTP/1.1 "
"91906","32281.471442","192.168.0.250","205.251.133.247","HTTP","394","GET /favicon.ico HTTP/1.1 "
"91911","32281.569641","192.168.0.250","72.21.194.22","HTTP","410","GET /tt-btn1.png HTTP/1.1 "
"91916","32281.571588","192.168.0.250","174.129.236.25","HTTP","879","GET /pview?event=pview&fpc=7281473-13798be8a6f-70e0e89b-1&sessionID=1338297453167.24467&sourceURL=http%3A%2F%2Fwww.claimfans.com%2Findex.php&hostname=www.claimfans.com&location=%2Findex.php&publisher=831b48ad-05cd-416f-b05b-dd2865a6a65c&shareHash=sthash.ndmXLgn7&incomingHash=&refDomain=&refQuery=&url=http%3A%2F%2Fwww.claimfans.com%2Findex.php&sharURL=&source=share4x&title=Free%20Facebook%20Fans%20and%20Free%20Twitter%20Followers%20and%20Pinterest%20Pin%20Exchange&ts1338297453177.0= HTTP/1.1 "
"91921","32281.593647","192.168.0.250","63.217.115.112","HTTP","425","GET /button/checkOAuth.esi HTTP/1.1 "
"91926","32281.620250","192.168.0.250","184.73.185.66","HTTP","629","GET /getSegment.php?purl=http%3A%2F%2Fwww.claimfans.com%2Findex.php&jsref=&rnd=1338297453177 HTTP/1.1 "
"91961","32281.894026","192.168.0.250","200.123.198.147","HTTP","635","GET /share4x/index.46f5bc5fc0e85c1367fbe18fbd1b1792.html HTTP/1.1 "
"91980","32282.110445","192.168.0.250","200.123.198.147","HTTP","503","GET /images/spinner.gif HTTP/1.1 "
"91988","32282.164565","192.168.0.250","72.246.216.42","HTTP","531","GET /share4x/js/st.35d4aacd4fd3d345f119a441cbb45043.js HTTP/1.1 "
"92029","32282.380828","192.168.0.250","63.217.115.67","HTTP","754","GET /b?c1=7&c2=8097938&rn=1188056402&c7=http%3A%2F%2Fseg.sharethis.com%2FgetSegment.php%3Fpurl%3Dhttp%253A%252F%252Fwww.claimfans.com%252Findex.php%26jsref%3D%26rnd%3D1338297453177&c3=8097938&c8=ShareThis%20Segmenter&c9=http%3A%2F%2Fwww.claimfans.com%2Findex.php&cv=2.2&cs=js HTTP/1.1 "
"92034","32282.485846","192.168.0.250","72.246.216.42","HTTP","536","GET /share4x/css/share.3343cba76810cce7b90dcaf8d6bc2e32.css HTTP/1.1 "
"92038","32282.531575","192.168.0.250","63.217.115.67","HTTP","819","GET /b2?c1=7&c2=8097938&rn=1188056402&c7=http%3A%2F%2Fseg.sharethis.com%2FgetSegment.php%3Fpurl%3Dhttp%253A%252F%252Fwww.claimfans.com%252Findex.php%26jsref%3D%26rnd%3D1338297453177&c3=8097938&c8=ShareThis%20Segmenter&c9=http%3A%2F%2Fwww.claimfans.com%2Findex.php&cv=2.2&cs=js HTTP/1.1 "
"92064","32284.852621","192.168.0.250","205.251.133.247","HTTP","509","GET /img/ie_menu_bg.png HTTP/1.1 "
